
 03.02.2022 10:00 SAATINE AIT SNAPSHOT FULL TEIAS DOSYASIDIR.


 The Saved Case in file C:\Users\erdidogan\Downloads\20220203_1000_SN4_TR0.sav was saved on THU, FEB 03 2022  11:30

 The following option settings are changed to the settings contained in the Saved Case File:

 ** VOLTAGE OUTPUT UNITS option setting set to KILOVOLTS

 ** VOLTAGE INPUT UNITS option setting set to KILOVOLTS

 ** SHORT CIRCUIT UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT IMPEDANCE UNITS option setting set to PHYSICAL UNITS

 ** SHORT CIRCUIT COORDINATES option setting set to POLAR

 ** SHORT CIRCUIT IMPEDANCE COORDINATES option setting set to POLAR

 ** TRANSFORMER PERCENT LOADING UNITS option setting set to CURRENT

----------------------------------------------------------------------------------------------------------
TEMEL DURUM GÜÇ AKIÞI
----------------------------------------------------------------------------------------------------------
     From Bus  To Bus             From Name               To Name  ID  Power Flow(%)  Power Flow(MVA)   RATEA
0      220010  220021       BURSADG A-OTR-1       BURSADG A-OTR-1  1           74.12         185.3000   250.0
1      220010  220021       BURSADG A-OTR-2       BURSADG A-OTR-2  2           74.12         185.3000   250.0
2      210311  210321     ADAPAZARI B-OTR-4     ADAPAZARI B-OTR-4  2           72.29         180.7250   250.0
3      210311  210321     ADAPAZARI B-OTR-3     ADAPAZARI B-OTR-3  1           71.16         177.9000   250.0
4      214210  214221       KOCAELI A-OTR-1       KOCAELI A-OTR-1  1           70.07         175.1750   250.0
5      214210  214221       KOCAELI B-OTR-3       KOCAELI B-OTR-3  2           70.07         175.1750   250.0
6      220011  220024       BURSADG B-OTR-3       BURSADG B-OTR-3  1           69.03         172.5750   250.0
7      210110  210121      TEPEOREN A-OTR-2      TEPEOREN A-OTR-2  1           66.27         165.6750   250.0
8      210110  210121      TEPEOREN A-OTR-1      TEPEOREN A-OTR-1  2           65.88         164.7000   250.0
9      220111  220122   BURSASANAYI B-OTR-4   BURSASANAYI B-OTR-4  2           64.28         160.7000   250.0
10     220111  220122   BURSASANAYI B-OTR-3   BURSASANAYI B-OTR-3  1           62.70         156.7500   250.0
11     210621  212422          HYUNDAI               ENJKOSEKOY    1           61.15         152.8750   250.0
12     214811  214822     MAKINAOSB B-OTR-3     MAKINAOSB B-OTR-3  1           59.54         148.8500   250.0
13     231121  233221          OSMANCA               CUMAYERI      1           59.52         107.1360   180.0
14     210210  210221       PASAKOY A-OTR-1       PASAKOY A-OTR-1  1           58.87         147.1750   250.0
15     210210  210221       PASAKOY A-OTR-2       PASAKOY A-OTR-2  2           58.62         146.5500   250.0
16     214310  214322    DILISKELESIG OTR-1    DILISKELESIG OTR-1  1           57.01         142.5250   250.0
17     210111  214310          TEPEOREN              DILISKELESIG  1           56.88         561.4056   987.0
18     214311  214322    DILISKELESIG OTR-2    DILISKELESIG OTR-2  1           56.77         141.9250   250.0
19     220121  221322          BURSASANAYI           BESEVLER      1           56.38         140.9500   250.0
20     210311  214211          ADAPAZARI             KOCAELI       1           56.12         763.2320  1360.0
21     210111  214211          TEPEOREN              KOCAELI       1           55.99         761.4640  1360.0
22     214810  214821     MAKINAOSB A-OTR-1     MAKINAOSB A-OTR-1  1           55.62         139.0500   250.0
23     211822  216721          GEBZEOSB              GEBZEKIMYA    1           54.04         135.1000   250.0
24     210221  212021          PASAKOY               DUDULLU       1           52.67         189.6120   360.0
25     212921  233221          HENDEK                CUMAYERI      1           51.89          93.4020   180.0
26     210111  210122      TEPEOREN B-OTR-3      TEPEOREN B-OTR-3  1           51.59         128.9750   250.0
27     217321  230021          ALAPLI                BOLUCEK       1           50.52          90.9360   180.0
28     210111  210122      TEPEOREN B-OTR-4      TEPEOREN B-OTR-4  2           50.46         126.1500   250.0
29     220010  314911          BURSADG               BANDIRMA1DG   1           50.30        1041.2100  2070.0
30     210321  212521          ADAPAZARI             KOSEKOY       2           49.43         123.5750   250.0
31     210010  210022     UMRANIYE A-OTR-11     UMRANIYE A-OTR-11  2           48.81          73.2150   150.0
32     210010  210022     UMRANIYE A-OTR-10     UMRANIYE A-OTR-10  1           48.81          73.2150   150.0
33     211211  211221        KARTAL B-OTR-4        KARTAL B-OTR-4  1           48.75         121.8750   250.0
34     227211  227221        ULUDAG B-OTR-4        ULUDAG B-OTR-4  2           48.19         120.4750   250.0
35     227211  227221        ULUDAG A-OTR-1        ULUDAG A-OTR-1  1           47.92         119.8000   250.0
36     210621  214221          HYUNDAI               KOCAELI       1           47.66         160.1376   336.0
37     220022  220721          BURSADG               GEMLIK        1           47.25         158.7600   336.0
38     210122  211822          TEPEOREN              GEBZEOSB      1           46.64         116.6000   250.0
39     227121  228721          DEVECIKONAGI          ORHANELI      1           45.48         113.7000   250.0
40     210910  210922    KBAKKALKOY B-OTR-4    KBAKKALKOY B-OTR-4  1           45.37         113.4250   250.0
41     210911  210921    KBAKKALKOY A-OTR-2    KBAKKALKOY A-OTR-2  1           45.26         113.1500   250.0
42     221521  311121          MKEMALPASA            GOBEL         1           44.91         112.2750   250.0
43     214821  216721          MAKINAOSB             GEBZEKIMYA    1           44.81         150.5616   336.0
44     220111  220121   BURSASANAYI A-OTR-1   BURSASANAYI A-OTR-1  2           44.80         112.0000   250.0
45     210311  231110          ADAPAZARI             OSMANCA       1           44.04         598.9440  1360.0
46     220111  220121   BURSASANAYI C-OTR-5   BURSASANAYI C-OTR-5  1           43.70         109.2500   250.0
47     212322  212421          IZMIT                 ENJKOSEKOY    1           43.69         109.2250   250.0
48     220111  220121   BURSASANAYI A-OTR-2   BURSASANAYI A-OTR-2  3           43.52         108.8000   250.0
49     210310  214210          ADAPAZARI             KOCAELI       1           42.96        1065.4080  2480.0
50     220121  291821          BURSASANAYI           BSANAYISANAL  1           42.96         144.3456   336.0
51     228621  291821          OSMANGAZI             BSANAYISANAL  1           42.94         144.2784   336.0
52     214210  214810          KOCAELI               MAKINAOSB     1           42.80        1061.4400  2480.0
53     224022  311121          KARACABEY             GOBEL         1           42.10          75.7800   180.0
54     227121  311121          DEVECIKONAGI          GOBEL         1           41.65         104.1250   250.0
55     210022  210721          UMRANIYE              SELIMIYE      1           41.58         103.9500   250.0
56     211421  211521          KROMANCELIK           COLAKOGLU     1           41.43         103.5750   250.0
57     217321  231521          ALAPLI                AKCAKOCA      1           41.28          74.3040   180.0
58     211321  211621          TUZLA                 ICMELER       1           40.23         100.5750   250.0
59     120710  210511          HABIBLER              ADA2DGKC      1           40.01         661.3653  1653.0
60     220122  221221          BURSASANAYI           BOSEN         1           39.99         134.3664   336.0
61     220110  310010          BURSASANAYI           KOYLUKOY      1           39.75         540.6000  1360.0
62     211222  211621          KARTAL                ICMELER       1           39.32         141.5520   360.0
63     212621  216722          HEREKE                GEBZEKIMYA    1           39.31          98.2750   250.0
